afsd_h,frzmlt_h,sst_h
"0.09252387,0.013820885,0.005279922,0.0025118103,0.0013097327,0.00071296724,0.000339445,0.00019963633,0.00011474976,8.476839e-05,2.2107815e-05,0.00046762833",4670.688,-1.7968047
"0.09247241,0.013813325,0.0052776067,0.0025112878,0.0013100913,0.00071380875,0.00034123065,0.00020104408,0.00011597121,8.5642474e-05,2.3118066e-05,0.00046260955",4669.511,-1.7968047
"0.09113369,0.013610521,0.005187551,0.0024558415,0.0012676707,0.00067717483,0.00029982615,0.00016912862,8.755747e-05,5.417181e-05,1.9596268e-05,0.0005446684",4676.1816,-1.7968047
"0.09080163,0.013561714,0.0051724445,0.002452201,0.0012695732,0.00068202097,0.00030888396,0.00017658416,9.467395e-05,6.236125e-05,2.0445397e-05,0.00051797944",4677.0825,-1.7968047
"0.09161651,0.013683698,0.0052202,0.0024760808,0.0012832783,0.0006907498,0.0003154918,0.0001811759,9.819758e-05,6.5491266e-05,2.1686083e-05,0.0005133318",4673.7754,-1.7968047
"0.09316989,0.013918878,0.005324003,0.0025394452,0.001331298,0.00073189614,0.00036147426,0.00021660421,0.00012976529,0.0001007806,2.5022315e-05,0.00042310008",5709.733,-1.7895709
"0.092853785,0.0138706155,0.0053009205,0.002523806,0.0013181411,0.00071970787,0.00034656413,0.00020503058,0.000119435805,8.972564e-05,2.2993676e-05,0.00045492963",5710.6416,-1.7895709
"0.093034215,0.013897855,0.005312608,0.0025306507,0.0013230888,0.0007237849,0.0003509894,0.00020840568,0.0001223947,9.290488e-05,2.3491317e-05,0.0004466884",5709.7466,-1.7895709
"0.09309416,0.013907051,0.0053171897,0.0025339017,0.0013259342,0.0007264891,0.0003543613,0.00021103352,0.00012475278,9.545304e-05,2.3923067e-05,0.00043932733",5709.7515,-1.7895709
"0.09308909,0.0139056,0.0053135604,0.0025291003,0.0013201466,0.0007200625,0.00034578284,0.00020415436,0.00011828417,8.7529916e-05,2.4147108e-05,0.00046019105",5709.7554,-1.7895709
"0.09316254,0.013916763,0.0053186743,0.0025323783,0.0013227508,0.0007223628,0.00034818304,0.00020606264,0.00012010982,9.012347e-05,2.3451175e-05,0.00045532573",5709.784,-1.7895709
"0.09321652,0.013928267,0.005338441,0.0025573014,0.0013526141,0.0007558351,0.00040002252,0.00024609038,0.00015438223,0.00011686755,4.7064168e-05,0.00033096666",7041.622,-1.7923838
"0.09320868,0.013926412,0.0053346674,0.0025523975,0.0013466489,0.00074907136,0.0003888092,0.00023755632,0.00014736227,0.000112833244,3.9873434e-05,0.00035780395",7041.5933,-1.7923838
"0.09321886,0.013927978,0.005335469,0.0025529843,0.0013471803,0.0007495933,0.00038958603,0.0002381415,0.00014783863,0.00011310993,4.0349867e-05,0.00035607838",7041.6147,-1.7923838
"0.09321155,0.013926315,0.005332277,0.0025488727,0.0013421936,0.00074394536,0.0003802296,0.00023102116,0.00014198196,0.00010974392,3.4351648e-05,0.00037846077",7041.6284,-1.7923838
"0.093105964,0.01390991,0.0053231693,0.002541658,0.0013352726,0.0007369186,0.00036948032,0.00022290186,0.00013535384,0.000105905114,2.7679502e-05,0.00040282804",4724.474,-1.7764502
"0.09302923,0.013899533,0.0053240717,0.002547025,0.0013434839,0.0007469739,0.0003869672,0.00023626632,0.00014639324,0.0001122224,3.9093768e-05,0.00035974264",3630.6848,-1.7963654
"0.09320933,0.013926318,0.005333775,0.002551104,0.0013450218,0.0007472026,0.000385685,0.00023517685,0.00014540348,0.00011170841,3.7863607e-05,0.00036532053",3629.5715,-1.7963654
"0.093221694,0.013927693,0.005332183,0.002548199,0.0013411524,0.0007426668,0.00037800247,0.00022931882,0.00014057559,0.00010893924,3.2897075e-05,0.00038395336",3484.0725,-1.7978184
"0.0929841,0.013892587,0.0053205,0.002544394,0.0013410908,0.0007446174,0.00038345213,0.00023361793,0.00014423678,0.00011097018,3.693584e-05,0.0003675639",3485.232,-1.7978184
"0.09321087,0.013926537,0.0053338087,0.002551069,0.0013449476,0.00074710464,0.0003855074,0.00023504063,0.00014529056,0.000111644025,3.774596e-05,0.00036576868",3484.0818,-1.7978184
"0.093125686,0.013913696,0.005328379,0.0025479544,0.0013427412,0.00074530276,0.00038328773,0.00023340383,0.0001439874,0.00011086978,3.6511046e-05,0.00036992176",3484.4966,-1.7978184
"0.09320889,0.01392849,0.0053446405,0.0025664538,0.0013641864,0.000769151,0.0004223117,0.00026306845,0.00016836013,0.00012489347,6.1409846e-05,0.000277299",2118.7715,-1.8273282
"0.09323955,0.013933695,0.005349428,0.0025715705,0.0013699669,0.0007755091,0.00043263732,0.00027091213,0.00017480012,0.00012860156,6.797847e-05,0.00025291133",1699.6641,-1.8145833
